bench,config,scene,n,executor,step_ms,pair_ms,pairs,query_ns,bytes
step,Tree,uniform-dense,100,serial,0.0614167,0,0,0,0
pairs,Tree,uniform-dense,100,serial,0,0.00979167,12,0,0
step,Tree,uniform-sparse,100,serial,0.0484583,0,0,0,0
pairs,Tree,uniform-sparse,100,serial,0,0.00915833,0,0,0
step,Tree,clustered-mixed,100,serial,0.0324833,0,0,0,0
pairs,Tree,clustered-mixed,100,serial,0,0.00260833,0,0,0
step,Hash,uniform-dense,100,serial,0.0413417,0,0,0,0
pairs,Hash,uniform-dense,100,serial,0,0.002325,12,0,0
step,Hash,uniform-sparse,100,serial,0.0373667,0,0,0,0
pairs,Hash,uniform-sparse,100,serial,0,0.00119167,0,0,0
step,Hash,clustered-mixed,100,serial,0.0279833,0,0,0,0
pairs,Hash,clustered-mixed,100,serial,0,0.000883333,0,0,0
step,Sap,uniform-dense,100,serial,0.338708,0,0,0,0
pairs,Sap,uniform-dense,100,serial,0,0.000408333,12,0,0
step,Sap,uniform-sparse,100,serial,0.346483,0,0,0,0
pairs,Sap,uniform-sparse,100,serial,0,0.000133333,0,0,0
step,Sap,clustered-mixed,100,serial,0.201683,0,0,0,0
pairs,Sap,clustered-mixed,100,serial,0,0.0001,0,0,0
step,Tree,uniform-dense,1000,serial,0.796375,0,0,0,0
pairs,Tree,uniform-dense,1000,serial,0,0.288017,112,0,0
step,Tree,uniform-dense,1000,enki,0.8475,0,0,0,0
step,Tree,uniform-sparse,1000,serial,0.789358,0,0,0,0
pairs,Tree,uniform-sparse,1000,serial,0,0.300917,3,0,0
step,Tree,uniform-sparse,1000,enki,0.601608,0,0,0,0
step,Tree,clustered-mixed,1000,serial,0.614525,0,0,0,0
pairs,Tree,clustered-mixed,1000,serial,0,0.176658,38,0,0
step,Tree,clustered-mixed,1000,enki,0.513267,0,0,0,0
step,Hash,uniform-dense,1000,serial,0.450283,0,0,0,0
pairs,Hash,uniform-dense,1000,serial,0,0.0931417,112,0,0
step,Hash,uniform-dense,1000,enki,0.532175,0,0,0,0
step,Hash,uniform-sparse,1000,serial,0.41815,0,0,0,0
pairs,Hash,uniform-sparse,1000,serial,0,0.02475,3,0,0
step,Hash,uniform-sparse,1000,enki,0.437042,0,0,0,0
step,Hash,clustered-mixed,1000,serial,0.359942,0,0,0,0
pairs,Hash,clustered-mixed,1000,serial,0,0.02845,38,0,0
step,Hash,clustered-mixed,1000,enki,0.418517,0,0,0,0
step,Sap,uniform-dense,1000,serial,33.6869,0,0,0,0
pairs,Sap,uniform-dense,1000,serial,0,0.0165417,112,0,0
step,Sap,uniform-dense,1000,enki,34.1951,0,0,0,0
step,Sap,uniform-sparse,1000,serial,33.9626,0,0,0,0
pairs,Sap,uniform-sparse,1000,serial,0,0.001825,3,0,0
step,Sap,uniform-sparse,1000,enki,35.1123,0,0,0,0
step,Sap,clustered-mixed,1000,serial,19.2984,0,0,0,0
pairs,Sap,clustered-mixed,1000,serial,0,0.00459167,38,0,0
step,Sap,clustered-mixed,1000,enki,18.9922,0,0,0,0
step,Tree,uniform-dense,10000,serial,15.6874,0,0,0,0
pairs,Tree,uniform-dense,10000,serial,0,6.27259,1237,0,0
step,Tree,uniform-dense,10000,enki,6.23388,0,0,0,0
step,Tree,uniform-sparse,10000,serial,9.96294,0,0,0,0
pairs,Tree,uniform-sparse,10000,serial,0,6.19793,22,0,0
step,Tree,uniform-sparse,10000,enki,7.15199,0,0,0,0
step,Tree,clustered-mixed,10000,serial,19.1435,0,0,0,0
pairs,Tree,clustered-mixed,10000,serial,0,6.2717,3720,0,0
step,Tree,clustered-mixed,10000,enki,8.71873,0,0,0,0
step,Hash,uniform-dense,10000,serial,7.07999,0,0,0,0
pairs,Hash,uniform-dense,10000,serial,0,2.24081,1237,0,0
step,Hash,uniform-dense,10000,enki,6.61395,0,0,0,0
step,Hash,uniform-sparse,10000,serial,6.10747,0,0,0,0
pairs,Hash,uniform-sparse,10000,serial,0,0.818592,22,0,0
step,Hash,uniform-sparse,10000,enki,5.69915,0,0,0,0
step,Hash,clustered-mixed,10000,serial,14,0,0,0,0
pairs,Hash,clustered-mixed,10000,serial,0,4.03195,3720,0,0
step,Hash,clustered-mixed,10000,enki,12.4371,0,0,0,0
step,Sap,uniform-dense,10000,serial,3931.11,0,0,0,0
pairs,Sap,uniform-dense,10000,serial,0,0.8665,1237,0,0
step,Sap,uniform-dense,10000,enki,3934.17,0,0,0,0
step,Sap,uniform-sparse,10000,serial,3944.69,0,0,0,0
pairs,Sap,uniform-sparse,10000,serial,0,0.143392,22,0,0
step,Sap,uniform-sparse,10000,enki,3870.01,0,0,0,0
step,Sap,clustered-mixed,10000,serial,2216.33,0,0,0,0
pairs,Sap,clustered-mixed,10000,serial,0,0.845525,3720,0,0
step,Sap,clustered-mixed,10000,enki,2218.34,0,0,0,0
statics,grid,clustered-mixed,100,serial,0,0,0,50.625,0
statics,tree,clustered-mixed,100,serial,0,0,0,16.0938,0
statics,grid,clustered-mixed,1000,serial,0,0,0,56.7188,0
statics,tree,clustered-mixed,1000,serial,0,0,0,51.7187,0
statics,grid,clustered-mixed,10000,serial,0,0,0,62.4219,0
statics,tree,clustered-mixed,10000,serial,0,0,0,16.9531,0
query,grid-tile,clustered-mixed,100,serial,0,0,0,36.875,0
query,tree-tile,clustered-mixed,100,serial,0,0,0,60.8125,0
query,grid-ring,clustered-mixed,100,serial,0,0,0,123.938,0
query,tree-ring,clustered-mixed,100,serial,0,0,0,73.75,0
query,grid-region,clustered-mixed,100,serial,0,0,0,253.781,0
query,tree-region,clustered-mixed,100,serial,0,0,0,91.4688,0
query,grid-tile,clustered-mixed,1000,serial,0,0,0,49.0938,0
query,tree-tile,clustered-mixed,1000,serial,0,0,0,154.219,0
query,grid-ring,clustered-mixed,1000,serial,0,0,0,588.25,0
query,tree-ring,clustered-mixed,1000,serial,0,0,0,305.031,0
query,grid-region,clustered-mixed,1000,serial,0,0,0,1332.66,0
query,tree-region,clustered-mixed,1000,serial,0,0,0,798.812,0
query,grid-tile,clustered-mixed,10000,serial,0,0,0,384.594,0
query,tree-tile,clustered-mixed,10000,serial,0,0,0,566.812,0
query,grid-ring,clustered-mixed,10000,serial,0,0,0,5126.03,0
query,tree-ring,clustered-mixed,10000,serial,0,0,0,5966.69,0
query,grid-region,clustered-mixed,10000,serial,0,0,0,13496.5,0
query,tree-region,clustered-mixed,10000,serial,0,0,0,13452.5,0
residency,grid-move,clustered-mixed,100,serial,0.01785,0,0,0,0
residency,grid-move,clustered-mixed,1000,serial,0.1829,0,0,0,0
residency,grid-move,clustered-mixed,10000,serial,1.9911,0,0,0,0
